league,club,season,window,player,group,type,weight,labels,fee,mv_at_purchase,from_club,sold,sale_fee,seasons_eval,rating,minutes,profit_loss,rating_imp,efficiency,mv_growth
Bundesliga,Arminia Bielefeld,20/21,summer,Arne Maier,MID,starter,2.0,replaces_sold|significant_outlay,€500k,€13.5m,Hertha BSC,False,,1,2.178,2.448,,-0.288,0.5,-0.481
Bundesliga,Arminia Bielefeld,20/21,summer,Mike van der Hoorn,CB,rotation,1.0,replaces_sold|rotation_option,€0,€2.8m,Swansea City,False,,2,6.094,3.285,,1.345,0.5,0.964
Bundesliga,Arminia Bielefeld,20/21,summer,Nathan de Medina,CB,starter,2.0,replaces_sold,€0,€650k,29228,False,,2,2.624,1.945,,,0.588,0.09
Bundesliga,Arminia Bielefeld,20/21,summer,Christian Gebauer,W,rotation,1.0,replaces_sold|rotation_option,€0,€550k,3551,False,,2,4.621,1.795,,0.894,0.5,1.432
Bundesliga,Arminia Bielefeld,20/21,summer,Jacob Barrett Laursen,LB,rotation,1.0,replaces_sold|rotation_option,€0,€550k,173,False,,2,9.641,7.288,,,0.588,1.765
Bundesliga,Arminia Bielefeld,20/21,summer,Noel Niemann,MID,starter,2.0,replaces_sold,€0,€200k,72,False,,1,1.029,0.0,,,0.588,0.441
Bundesliga,Arminia Bielefeld,21/22,summer,Robin Hack,W,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€1.2m,€3.0m,1.FC Nuremberg,False,,1,2.883,3.2,,-0.485,0.5,-0.333
Bundesliga,Arminia Bielefeld,21/22,summer,Gui Ramos,CB,rotation,1.0,replaces_sold|significant_outlay|rotation_option,€1.2m,€800k,CD Feirense,False,,1,6.818,5.642,,,-0.588,1.765
Bundesliga,Arminia Bielefeld,21/22,summer,Florian Krüger,W,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€1.0m,€4.0m,94,False,,1,2.291,2.646,,-0.305,0.5,-0.55
Bundesliga,Arminia Bielefeld,21/22,summer,Masaya Okugawa,W,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€1.0m,€2.5m,409,False,,1,7.335,6.004,,-0.17,0.5,1.0
Bundesliga,Arminia Bielefeld,21/22,summer,Bryan Lasme,CF,starter,2.0,improves_problem|replaces_sold|significant_outlay,€800k,€2.0m,750,False,,1,1.571,2.046,,-0.476,0.5,-0.5
Bundesliga,Arminia Bielefeld,21/22,summer,Patrick Wimmer,W,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€700k,€1.5m,14,False,,1,7.247,4.876,,-0.005,0.5,1.875
Bundesliga,Arminia Bielefeld,21/22,summer,Stefanos Kapino,GK,rotation,1.0,replaces_sold|rotation_option,€300k,€700k,SV Werder Bremen,False,,1,3.978,0.478,,1.5,0.5,1.5
Bundesliga,Arminia Bielefeld,21/22,summer,Lennart Czyborra,W,starter,2.0,addresses_problem|improves_problem|replaces_sold,€75k,€3.5m,Genoa CFC,False,,1,0.0,0.307,,-1.115,0.5,-0.343
Bundesliga,Arminia Bielefeld,21/22,summer,Sebastian Vasiliadis,MID,starter,2.0,addresses_problem|improves_problem|replaces_sold,€0,€2.0m,SC Paderborn 07,False,,1,2.7,2.832,,-0.533,0.5,-0.1
Bundesliga,Arminia Bielefeld,21/22,summer,Janni Serra,CF,starter,2.0,improves_problem|replaces_sold,€0,€2.0m,Holstein Kiel,False,,1,2.588,2.648,,-0.46,0.5,-0.1
Bundesliga,Arminia Bielefeld,21/22,summer,Alessandro Schöpf,MID,starter,2.0,addresses_problem|improves_problem|replaces_sold,€0,€1.5m,FC Schalke 04,False,,1,6.835,5.676,,-0.007,0.5,0.667
Bundesliga,Arminia Bielefeld,21/22,summer,Vladislav Cherny,MID,starter,2.0,addresses_problem|improves_problem|replaces_sold,,€100k,4556,False,,1,0.0,0.0,,,,0.0
Bundesliga,Arminia Bielefeld,21/22,winter,George Bello,LB,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€1.8m,€4.0m,51663,False,,1,0.455,1.008,,-0.803,0.5,-0.25
Bundesliga,Arminia Bielefeld,21/22,winter,Burak İnce,W,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€1.4m,€2.5m,12374,False,,1,0.061,0.326,,-0.365,0.5,-0.4
Bundesliga,Arminia Bielefeld,21/22,winter,Gonzalo Castro,MID,starter,2.0,addresses_problem|improves_problem|replaces_sold,,€900k,515,False,,1,0.298,1.073,,-0.308,,-0.468
Ligue 1,Paris FC,25/26,summer,Otávio,CB,starter,2.0,replaces_sold|significant_outlay,€17.0m,€10.0m,FC Porto,False,,1,4.054,4.494,,0.06,-0.5,0.0
Ligue 1,Paris FC,25/26,summer,Nhoa Sangui,LB,starter,2.0,replaces_sold|significant_outlay,€9.5m,€2.5m,Stade Reims,False,,1,4.895,4.093,,-0.198,-0.5,1.5
Ligue 1,Paris FC,25/26,summer,Willem Geubbels,CF,starter,2.0,replaces_sold|significant_outlay,€9.0m,€10.0m,257,False,,1,1.728,2.389,,-0.327,0.167,-0.5
Ligue 1,Paris FC,25/26,summer,Moses Simon,W,starter,2.0,replaces_sold|significant_outlay,€7.0m,€12.0m,FC Nantes,False,,1,4.664,4.77,,-0.189,0.5,-0.417
Ligue 1,Paris FC,25/26,summer,Pierre Lees-Melou,MID,starter,2.0,replaces_sold|significant_outlay,€5.8m,€6.0m,Stade Brestois 29,False,,1,4.218,4.215,,0.114,0.056,-0.167
Ligue 1,Paris FC,25/26,summer,Hamari Traoré,RB,starter,2.0,replaces_sold,€4.5m,€2.0m,Real Sociedad,False,,1,1.884,2.724,,-0.24,-0.5,-0.1
Ligue 1,Paris FC,25/26,summer,Jonathan Ikoné,W,starter,2.0,replaces_sold,€2.0m,€7.0m,ACF Fiorentina,False,,1,2.541,2.599,,-0.129,0.5,-0.429
Ligue 1,Paris FC,25/26,summer,Thibault De Smet,LB,rotation,1.0,replaces_sold|rotation_option,€1.5m,€2.5m,Stade Reims,False,,1,8.873,6.096,,1.077,0.5,1.2
Ligue 1,Paris FC,25/26,summer,Kevin Trapp,GK,rotation,1.0,replaces_sold|rotation_option,€1.0m,€2.5m,Eintracht Frankfurt,False,,1,9.614,6.5,,1.415,0.5,1.2
Ligue 1,Paris FC,25/26,winter,Rudy Matondo,MID,starter,2.0,replaces_sold|significant_outlay,€15.0m,€3.0m,AJ Auxerre,False,,1,2.857,1.758,,-0.276,-0.5,1.875
Ligue 1,Paris FC,25/26,winter,Ciro Immobile,CF,rotation,1.0,replaces_sold|rotation_option,€0,€2.0m,Bologna FC 1909,False,,1,7.054,3.776,,1.278,0.5,1.5
Premier League,Leicester City,19/20,summer,Youri Tielemans,MID,starter,2.0,addresses_problem|replaces_sold|significant_outlay,€45.0m,€38.0m,AS Monaco,False,,4,5.839,5.753,,0.216,-0.307,0.178
Premier League,Leicester City,19/20,summer,Ayoze Pérez,CF,rotation,1.0,replaces_sold|significant_outlay|rotation_option,€33.4m,€20.0m,Newcastle United,False,,4,5.99,4.182,,1.295,-0.5,1.013
Premier League,Leicester City,19/20,summer,Dennis Praet,MID,starter,2.0,addresses_problem|replaces_sold|significant_outlay,€19.2m,€24.0m,UC Sampdoria,True,€0,4,0.0,1.216,-1.333,-0.279,-0.083,-0.135
